pagenation,region,hpatitisc-incidence,heptitisc-ir,heptitisc-death,heptitisc-dr,heptitisb-incidence,heptitisb-death,heptitisb-ir,heptitisb-dr,hepatitise-incidence,hepatitise-death,hepatitise-ir,hepatitise-dr,hepatitisa-incidence,hepatitisa-death,hepatitisa-ir,hepatitisa-dr,hepatitis-incidence,hepatitis-death,hepatitis-ir,hepatitis-dr,hepatitisun-incidence,hepatitisun-death,hepatitisun-ir,hepatitisun-dr
4-Oct,安徽省,37,0.0574,0,0,2615,3,4.0586,0.0047,16,0,0.0248,0,212,1,0.329,0.0016,3121,5,4.8439,0.0078,241,1,0.374,0.0016
6-Feb,建设兵团,45,1.7511,1,0.0389,303,0,11.791,0,0,0,0,0,22,0,0.8561,0,381,1,14.8263,0.0389,11,0,0.4281,0
6-May,重庆市,69,0.2466,0,0,3100,1,11.0793,0.0036,13,0,0.0465,0,260,0,0.9292,0,3572,1,12.7662,0.0036,130,0,0.4646,0
4-Jun,陕西省,225,0.6151,0,0,4877,2,13.332,0.0055,11,0,0.0301,0,227,0,0.6205,0,5550,2,15.1718,0.0055,210,0,0.5741,0
9-Nov,河北省,247,0.3534,0,0,4138,1,5.9208,0.0014,51,0,0.073,0,49,0,0.0701,0,4551,1,6.5118,0.0014,66,0,0.0944,0
8-Jun,宁??? 夏,27,0.4426,0,0,819,0,13.4263,0,0,0,0,0,71,0,1.1639,0,932,0,15.2788,0,15,0,0.2459,0
5-Apr,海南省,15,0.1828,0,0,794,1,9.675,0.0122,3,0,0.0366,0,112,0,1.3647,0,976,1,11.8927,0.0122,52,0,0.6336,0
6-Jan,天津市,57,0.5465,0,0,468,1,4.487,0.0096,23,0,0.2205,0,3,0,0.0288,0,634,1,6.0786,0.0096,83,0,0.7958,0
8-Aug,江西省,96,0.2198,0,0,3043,2,6.9666,0.0046,27,0,0.0618,0,146,0,0.3342,0,3489,2,7.9876,0.0046,177,0,0.4052,0
14-Sep,新疆,842,3.7186,0,0,3052,1,13.4788,0.0044,27,0,0.1192,0,787,0,3.4757,0,4782,1,21.1191,0.0044,74,0,0.3268,0
10-Mar,甘肃省,770,2.9217,0,0,5250,1,19.9206,0.0038,9,0,0.0341,0,215,0,0.8158,0,6288,1,23.8592,0.0038,44,0,0.167,0
16-Oct,西??? 藏,3,0.0945,0,0,173,0,5.448,0,0,0,0,0,9,0,0.2834,0,186,0,5.8573,0,1,0,0.0315,0
6-Oct,宁??? 夏,14,0.2349,0,0,635,0,10.6544,0,0,0,0,0,86,0,1.443,0,757,0,12.7014,0,22,0,0.3691,0
9-Mar,湖南省,402,0.6296,0,0,3744,2,5.8639,0.0031,72,0,0.1128,0,135,0,0.2114,0,4530,2,7.095,0.0031,177,0,0.2772,0
11-Feb,建设兵团,95,3.692,0,0,248,1,9.638,0.0389,2,0,0.0777,0,8,0,0.3109,0,355,1,13.7963,0.0389,2,0,0.0777,0
5-Mar,天津市,33,0.3168,0,0,393,3,3.7734,0.0288,40,0,0.3841,0,8,0,0.0768,0,540,3,5.1848,0.0288,66,0,0.6337,0
12-Oct,河北省,539,0.7444,0,0,4637,3,6.4042,0.0041,74,0,0.1022,0,43,0,0.0594,0,5355,3,7.3959,0.0041,62,0,0.0856,0
8-Feb,福建省,95,0.2653,0,0,4261,3,11.8989,0.0084,56,0,0.1564,0,68,0,0.1899,0,4823,5,13.4683,0.014,343,2,0.9578,0.0056
9-May,海南省,37,0.4333,0,0,542,0,6.3466,0,0,0,0,0,22,0,0.2576,0,658,0,7.705,0,57,0,0.6675,0
15-Oct,建设兵团,49,1.793,0,0,144,0,5.2692,0,2,0,0.0732,0,22,0,0.805,0,222,0,8.1233,0,5,0,0.183,0
15-Jun,甘肃省,553,2.1345,0,0,865,0,3.3388,0,9,0,0.0347,0,45,0,0.1737,0,1507,0,5.8168,0,35,0,0.1351,0
8-Sep,内蒙古,253,1.052,0,0,2379,1,9.8919,0.0042,7,0,0.0291,0,41,0,0.1705,0,2707,1,11.2557,0.0042,27,0,0.1123,0
15-Sep,湖北省,754,1.2964,0,0,5182,1,8.9099,0.0017,184,0,0.3164,0,78,0,0.1341,0,6373,1,10.9577,0.0017,175,0,0.3009,0
7-Nov,北京市,114,0.7211,1,0.0063,438,6,2.7704,0.038,28,0,0.1771,0,11,0,0.0696,0,627,8,3.9658,0.0506,36,1,0.2277,0.0063
12-Oct,宁??? 夏,69,1.0791,0,0,488,0,7.6316,0,5,0,0.0782,0,8,0,0.1251,0,571,0,8.9295,0,1,0,0.0156,0
15-Jan,辽宁省,1088,2.4778,0,0,2165,0,4.9305,0,110,0,0.2505,0,444,0,1.0112,0,3979,0,9.0617,0,172,0,0.3917,0
12-Mar,建设兵团,105,4.0173,0,0,302,0,11.5544,0,0,0,0,0,8,0,0.3061,0,424,0,16.2221,0,9,0,0.3443,0
14-Jun,陕西省,557,1.4798,0,0,2209,1,5.8688,0.0027,19,0,0.0505,0,23,0,0.0611,0,2837,1,7.5372,0.0027,29,0,0.077,0
11-Jun,福建省,178,0.4825,0,0,3398,4,9.2101,0.0108,90,0,0.2439,0,78,0,0.2114,0,4169,4,11.2998,0.0108,425,0,1.1519,0
13-May,吉林省,573,2.0833,0,0,1126,0,4.0939,0,32,0,0.1163,0,13,0,0.0473,0,1791,0,6.5118,0,47,0,0.1709,0
10-Aug,陕西省,368,0.9756,0,0,2300,2,6.0976,0.0053,33,0,0.0875,0,70,0,0.1856,0,2850,2,7.5557,0.0053,79,0,0.2094,0
